		8
1927		1
1929		1
1941		1
1942		11
1945		1
1948		1
1955		2
22nd		1
3:30		1
3rd		1
4th.áveryánon-sectarian		1
51,112		1
58th		1
5:52		1
63rd		1
>to		1
[305]		1
[306]		1
[307]		1
[308]		1
[309]		1
[310]		1
[311]		1
[313]		1
[314]		1
[315]		1
[316]		1
[317]		1
[318]		1
[319]		1
[320]		1
[321]		1
[322]		1
[323]		1
[324]		1
[325]		1
[326]		1
[327]		1
[328]		1
[330]		1
[331]		1
[332]		1
[333]		1
[334]		1
[335]		1
[336]		1
[337]		1
[338]		1
[339]		1
[340]		1
[341]		1
[342]		1
[343]		1
[344]		1
[345]		1
[346]		1
[347]		1
[348]		1
[349]		1
[350]		1
[351]		1
[352]		1
[353]		1
[354]		1
[355]		1
[356]		1
[357]		1
[358]		1
[512]		1
a		517
a.m		1
a.w.o.l		1
abandon		1
abandoned		1
abated		1
able		8
abounded		1
about		53
aboutáfive		1
aboutátwo		1
above		5
abrasive		1
abruptly		13
absence		1
absent-mindedly		1
absenteeism		1
absently		1
absolute		5
absolutely		5
absorbed		2
absorption		1
abstract		1
abstracted		1
absurd		2
accent		2
acceptance		1
accepting		2
accident		3
accidentally		2
according		1
account		3
accounted		1
ace		1
achieve		1
acknowledge		1
acquaintance		1
acquired		2
acquisitioned		1
across		7
act		2
acting		1
action		4
active		2
actress		1
actuality		1
actually		6
add		1
added		3
address		2
addressed		4
addressing		6
adherence		1
adhesive		5
adjust		1
adjusted		1
admiration		1
admonitions		1
adroit		1
advance		1
advanced		2
advent		1
advise		1
advised		3
affair		1
affect		2
affronted		2
afraid		4
after		24
afternoon		5
again		30
against		2
age		3
aged		1
ages		1
ago		5
agree		2
agreement		1
agrees		1
ah		2
ahead		6
ailing		1
aimed		1
air		9
air-conditioned		2
air-conditioner		6
air-conditioners		2
airbase		1
al		1
al-that		1
alacrity		1
album		1
alert		1
alertly		1
alertness		1
alike		1
alike-meaning		1
all		123
all-if		1
all-implicit		1
alleged		1
alliance-of		1
almost		23
alone		5
along		10
aloud		3
already		6
